region_id,selection_method,seed_node,node_count,boundary_count,internal_node_count,shortcut_count,label_query_count,reachable_query_count,endpoint_access_query_count,endpoint_access_rate_pct,baseline_avg_expanded,indexed_avg_expanded,indexed_avg_graph_expanded,indexed_avg_access_expanded,avg_workload_gain,total_workload_gain,positive_gain_query_rate_pct,baseline_avg_ms_unpaired,indexed_avg_ms_unpaired,indexed_p95_ms_unpaired,preprocessing_seconds,evaluation_seconds,correctness_rate
0,spatial_uniform_bfs,1300651758,512,28,484,652,500,497,0,0.000000000,10410.840000000,10408.904000000,10408.898000000,0.000000000,1.936000000,968,0.400000000,7.851052488,24.394183642,102.679800649,2.242508765,12.579571378,1.000000000
1,history_hotspot_bfs,11005952442,512,47,465,439,500,497,87,17.400000000,10410.840000000,10239.302000000,10196.076000000,43.220000000,171.538000000,85769,63.400000000,7.851052488,23.867503806,99.753488202,2.156660339,12.231044685,1.000000000
2,fixed_random_bfs,1142609813,512,16,496,225,500,497,0,0.000000000,10410.840000000,10392.182000000,10392.176000000,0.000000000,18.658000000,9329,6.000000000,7.851052488,23.782640466,98.259900348,2.185597872,12.261025776,1.000000000
3,history_hotspot_bfs,5305637330,512,26,486,299,500,497,47,9.400000000,10410.840000000,10316.336000000,10275.252000000,41.078000000,94.504000000,47252,43.800000000,7.851052488,21.088994644,84.583062150,2.156560374,10.828504947,1.000000000
4,fixed_random_bfs,1112073249,512,44,468,580,500,497,0,0.000000000,10410.840000000,10379.054000000,10379.048000000,0.000000000,31.786000000,15893,15.800000000,7.851052488,19.771193140,80.025061802,2.332262105,10.171456397,1.000000000
5,history_hotspot_bfs,12111393897,512,36,476,198,500,497,99,19.800000000,10410.840000000,10236.218000000,10190.026000000,46.186000000,174.622000000,87311,66.000000000,7.851052488,23.572097198,97.853638001,2.169085835,12.076670659,1.000000000
6,fixed_random_bfs,12484918850,512,27,485,255,500,497,0,0.000000000,10410.840000000,10408.622000000,10408.616000000,0.000000000,2.218000000,1109,2.200000000,7.851052488,23.756766680,98.468930949,2.151239434,12.245549468,1.000000000
7,history_hotspot_bfs,3573222227,512,34,478,367,500,497,35,7.000000000,10410.840000000,10367.066000000,10347.712000000,19.348000000,43.774000000,21887,23.400000000,7.851052488,21.830530032,90.258723902,1.917362430,11.208814243,1.000000000
8,fixed_random_bfs,292782963,512,29,483,490,500,497,0,0.000000000,10410.840000000,10401.850000000,10401.844000000,0.000000000,8.990000000,4495,4.000000000,7.851052488,23.770533310,98.878446300,2.191983293,12.259902830,1.000000000
9,fixed_random_bfs,479437576,512,18,494,100,500,497,11,2.200000000,10410.840000000,10304.748000000,10293.548000000,11.194000000,106.092000000,53046,38.400000000,7.851052488,28.286836352,117.037627299,1.939626398,14.599846196,1.000000000
10,history_hotspot_bfs,10804032079,512,28,484,186,500,497,62,12.400000000,10410.840000000,10256.488000000,10216.560000000,39.922000000,154.352000000,77176,61.800000000,7.851052488,28.526247286,117.817653850,2.403834905,14.689967162,1.000000000
11,fixed_random_bfs,2163335530,512,38,474,537,500,497,2,0.400000000,10410.840000000,10359.136000000,10357.462000000,1.668000000,51.704000000,25852,19.400000000,7.851052488,21.639323678,91.791005150,2.375937709,11.129241227,1.000000000
12,history_hotspot_bfs,13050276131,512,30,482,244,500,497,42,8.400000000,10410.840000000,10251.480000000,10218.392000000,33.082000000,159.360000000,79680,58.600000000,7.851052488,23.638828682,101.374401349,2.028642316,12.153834739,1.000000000
13,fixed_random_bfs,1518839603,512,30,482,580,500,497,0,0.000000000,10410.840000000,10410.308000000,10410.302000000,0.000000000,0.532000000,266,0.600000000,7.851052488,23.845445882,99.234691801,2.209998680,12.288891355,1.000000000
14,history_hotspot_bfs,12435776715,512,18,494,88,500,497,24,4.800000000,10410.840000000,10389.764000000,10385.726000000,4.032000000,21.076000000,10538,5.400000000,7.851052488,28.879769780,115.527001452,2.006611322,14.781058397,1.000000000
15,fixed_random_bfs,1327639071,512,21,491,293,500,497,0,0.000000000,10410.840000000,10404.890000000,10404.884000000,0.000000000,5.950000000,2975,3.600000000,7.851052488,28.814164536,115.814750001,2.416932375,14.877089494,1.000000000
16,history_hotspot_bfs,129795309,512,29,483,262,500,497,52,10.400000000,10410.840000000,10251.916000000,10224.494000000,27.416000000,158.924000000,79462,56.400000000,7.851052488,27.905395612,120.447553500,0.872766217,14.365707359,1.000000000
17,fixed_random_bfs,6094066396,512,32,480,185,500,497,1,0.200000000,10410.840000000,10395.570000000,10394.798000000,0.766000000,15.270000000,7635,5.000000000,7.851052488,22.731173840,93.127635252,0.922311033,11.693139002,1.000000000
18,history_hotspot_bfs,1386063700,512,38,474,191,500,497,101,20.200000000,10410.840000000,10253.458000000,10201.030000000,52.422000000,157.382000000,78691,67.000000000,7.851052488,21.737914116,91.747773801,1.019834837,11.130547310,1.000000000
19,fixed_random_bfs,1322917608,512,38,474,591,500,497,0,0.000000000,10410.840000000,10390.226000000,10390.220000000,0.000000000,20.614000000,10307,7.000000000,7.851052488,27.872374472,119.474249300,0.987619291,14.379827772,1.000000000
20,history_hotspot_bfs,3392710660,512,24,488,149,500,497,80,16.000000000,10410.840000000,10269.638000000,10221.088000000,48.544000000,141.202000000,70601,59.400000000,7.851052488,24.675009854,103.076581750,1.265291453,12.650318555,1.000000000
21,fixed_random_bfs,12454038415,512,46,466,979,500,497,7,1.400000000,10410.840000000,10322.842000000,10318.496000000,4.340000000,87.998000000,43999,35.600000000,7.851052488,23.936398274,96.657728551,1.193279666,12.320397997,1.000000000
22,fixed_random_bfs,3200644413,512,24,488,364,500,497,0,0.000000000,10410.840000000,10382.654000000,10382.648000000,0.000000000,28.186000000,14093,6.600000000,7.851052488,24.925025426,103.173963001,1.203182834,12.836960108,1.000000000
23,history_hotspot_bfs,2156098755,512,44,468,483,500,497,36,7.200000000,10410.840000000,10357.390000000,10341.450000000,15.934000000,53.450000000,26725,27.200000000,7.851052488,24.747040796,100.970469549,1.186518236,12.721605560,1.000000000
24,fixed_random_bfs,6768048270,512,27,485,676,500,497,0,0.000000000,10410.840000000,10410.258000000,10410.252000000,0.000000000,0.582000000,291,0.600000000,7.851052488,24.319791546,98.610912001,1.169909544,12.525213997,1.000000000
25,history_hotspot_bfs,423185164,512,35,477,328,500,497,18,3.600000000,10410.840000000,10245.322000000,10230.676000000,14.640000000,165.518000000,82759,61.800000000,7.851052488,24.427892522,102.841323501,1.170730372,12.571353007,1.000000000
26,fixed_random_bfs,4665705852,512,26,486,222,500,497,1,0.200000000,10410.840000000,10379.372000000,10379.352000000,0.014000000,31.468000000,15734,12.200000000,7.851052488,25.411617090,103.275241953,1.159848074,13.098735538,1.000000000
27,fixed_random_bfs,3241516294,512,44,468,1213,500,497,1,0.200000000,10410.840000000,10380.094000000,10379.130000000,0.958000000,30.746000000,15373,10.600000000,7.851052488,24.960031236,99.501258901,1.077730691,12.853353340,1.000000000
28,history_hotspot_bfs,12456240972,512,40,472,365,500,497,52,10.400000000,10410.840000000,10216.410000000,10181.494000000,34.910000000,194.430000000,97215,68.200000000,7.851052488,28.028926512,114.474260997,1.021961854,14.438906013,1.000000000
29,fixed_random_bfs,4955285396,512,26,486,405,500,497,0,0.000000000,10410.840000000,10392.008000000,10392.002000000,0.000000000,18.832000000,9416,6.400000000,7.851052488,28.582982070,121.694359499,1.181272077,14.738411923,1.000000000
30,history_hotspot_bfs,12064709805,512,32,480,275,500,497,96,19.200000000,10410.840000000,10289.696000000,10221.846000000,67.844000000,121.144000000,60572,59.400000000,7.851052488,26.682563536,110.252007448,1.189297604,13.696493982,1.000000000
31,fixed_random_bfs,497240505,512,43,469,846,500,497,3,0.600000000,10410.840000000,10334.982000000,10332.366000000,2.610000000,75.858000000,37929,25.400000000,7.851052488,25.520062806,103.052497401,1.172007966,13.138541771,1.000000000
32,history_hotspot_bfs,9026947863,512,26,486,207,500,497,35,7.000000000,10410.840000000,10289.540000000,10258.600000000,30.934000000,121.300000000,60650,45.400000000,7.851052488,25.323189760,108.016597953,1.334866201,13.025827575,1.000000000
33,fixed_random_bfs,9073575305,512,46,466,835,500,497,23,4.600000000,10410.840000000,10289.162000000,10267.604000000,21.552000000,121.678000000,60839,52.600000000,7.851052488,23.767902580,97.949118401,1.207827449,12.219615430,1.000000000
34,fixed_random_bfs,4074469815,512,25,487,404,500,497,0,0.000000000,10410.840000000,10384.082000000,10384.076000000,0.000000000,26.758000000,13379,13.800000000,7.851052488,27.472308354,120.632083950,1.808963545,14.170925106,1.000000000
35,fixed_random_bfs,10562265153,512,23,489,263,500,497,0,0.000000000,10410.840000000,10399.774000000,10399.768000000,0.000000000,11.066000000,5533,3.000000000,7.851052488,25.037646472,103.400295148,1.767119332,12.899674384,1.000000000
36,history_hotspot_bfs,1731168353,512,47,465,415,500,497,17,3.400000000,10410.840000000,10319.840000000,10313.156000000,6.678000000,91.000000000,45500,33.200000000,7.851052488,26.268586536,102.888845651,1.741011839,13.527664293,1.000000000
37,fixed_random_bfs,1801523308,512,27,485,184,500,497,0,0.000000000,10410.840000000,10386.330000000,10386.324000000,0.000000000,24.510000000,12255,5.800000000,7.851052488,28.915119466,119.121962601,1.725983114,14.901880792,1.000000000
38,history_hotspot_bfs,4529952469,512,35,477,205,500,497,54,10.800000000,10410.840000000,10230.290000000,10191.108000000,39.176000000,180.550000000,90275,67.200000000,7.851052488,24.979758486,103.789947099,1.837220579,12.844120661,1.000000000
39,fixed_random_bfs,1548076025,512,36,476,595,500,497,4,0.800000000,10410.840000000,10342.348000000,10338.882000000,3.460000000,68.492000000,34246,25.800000000,7.851052488,23.891927634,96.845043951,1.814771066,12.280771011,1.000000000
40,history_hotspot_bfs,5185083151,512,25,487,303,500,497,5,1.000000000,10410.840000000,10353.998000000,10349.252000000,4.740000000,56.842000000,28421,20.600000000,7.851052488,26.915634564,112.382344747,1.796315427,13.869890990,1.000000000
41,fixed_random_bfs,5185111392,512,31,481,430,500,497,1,0.200000000,10410.840000000,10378.044000000,10377.100000000,0.938000000,32.796000000,16398,11.200000000,7.851052488,25.442613416,105.072853651,1.743796427,13.103036705,1.000000000
42,fixed_random_bfs,445353619,512,26,486,509,500,497,0,0.000000000,10410.840000000,10382.564000000,10382.558000000,0.000000000,28.276000000,14138,9.400000000,7.851052488,25.612142808,103.616054748,1.761867676,13.190739103,1.000000000
43,history_hotspot_bfs,12514870315,512,37,475,415,500,497,51,10.200000000,10410.840000000,10259.214000000,10219.384000000,39.824000000,151.626000000,75813,59.200000000,7.851052488,23.081105766,94.973937098,1.795137227,11.853434554,1.000000000
44,history_hotspot_bfs,314074569,512,42,470,837,500,497,26,5.200000000,10410.840000000,10308.022000000,10285.278000000,22.738000000,102.818000000,51409,38.400000000,7.851052488,27.052880270,109.623267199,1.706352738,13.936960842,1.000000000
45,fixed_random_bfs,5284628346,512,26,486,625,500,497,0,0.000000000,10410.840000000,10407.956000000,10407.950000000,0.000000000,2.884000000,1442,2.000000000,7.851052488,27.584263926,104.358946001,1.415748546,14.236316174,1.000000000
46,spatial_uniform_bfs,6491943284,512,29,483,678,500,497,2,0.400000000,10410.840000000,10410.894000000,10408.876000000,2.012000000,-0.054000000,-27,0.400000000,7.851052488,25.418949794,103.764987150,1.574559977,13.090255792,1.000000000
47,history_hotspot_bfs,6924815711,512,58,454,470,500,497,32,6.400000000,10410.840000000,10273.442000000,10255.300000000,18.136000000,137.398000000,68699,63.800000000,7.851052488,27.711312324,115.832415051,1.489837420,14.260104587,1.000000000
48,fixed_random_bfs,10892466852,512,32,480,584,500,497,13,2.600000000,10410.840000000,10377.868000000,10365.446000000,12.416000000,32.972000000,16486,14.800000000,7.851052488,29.498858116,119.491267401,1.041628833,15.191620949,1.000000000
49,history_hotspot_bfs,3098121126,512,44,468,260,500,497,69,13.800000000,10410.840000000,10248.004000000,10220.776000000,27.222000000,162.836000000,81418,67.400000000,7.851052488,25.236418152,104.780455949,1.095253938,12.952593742,1.000000000
50,fixed_random_bfs,1110698247,512,44,468,372,500,497,43,8.600000000,10410.840000000,10230.380000000,10207.490000000,22.884000000,180.460000000,90230,70.400000000,7.851052488,22.737701010,97.712418752,0.998411744,11.665636330,1.000000000
51,history_hotspot_bfs,12456064553,512,55,457,416,500,497,25,5.000000000,10410.840000000,10232.492000000,10222.036000000,10.450000000,178.348000000,89174,72.000000000,7.851052488,25.430545314,107.682762349,1.164207326,13.070832479,1.000000000
52,fixed_random_bfs,13426945403,512,29,483,704,500,497,1,0.200000000,10410.840000000,10400.728000000,10399.720000000,1.002000000,10.112000000,5056,3.800000000,7.851052488,22.630509170,91.508498153,1.029011408,11.631408357,1.000000000
53,spatial_uniform_bfs,1145535936,512,34,478,963,500,497,2,0.400000000,10410.840000000,10410.754000000,10408.712000000,2.036000000,0.086000000,43,1.200000000,7.851052488,25.629112032,108.313037650,1.153124212,13.198662946,1.000000000
54,fixed_random_bfs,11406498895,512,40,472,746,500,497,1,0.200000000,10410.840000000,10387.358000000,10386.396000000,0.956000000,23.482000000,11741,8.400000000,7.851052488,26.049065280,107.388364901,1.194541232,13.416514155,1.000000000
55,history_hotspot_bfs,1471128087,512,42,470,843,500,497,9,1.800000000,10410.840000000,10338.076000000,10330.186000000,7.884000000,72.764000000,36382,37.400000000,7.851052488,23.226277298,96.453418300,0.989264585,11.933000234,1.000000000
56,fixed_random_bfs,1251033242,512,48,464,983,500,497,2,0.400000000,10410.840000000,10368.066000000,10366.320000000,1.740000000,42.774000000,21387,14.600000000,7.851052488,25.762997854,104.541178802,1.156362665,13.269571770,1.000000000
57,history_hotspot_bfs,7057137055,512,46,466,458,500,497,25,5.000000000,10410.840000000,10257.332000000,10243.462000000,13.864000000,153.508000000,76754,60.800000000,7.851052488,25.538447134,105.698243453,1.138143296,13.143569597,1.000000000
58,fixed_random_bfs,1436602798,512,37,475,611,500,497,1,0.200000000,10410.840000000,10399.260000000,10398.362000000,0.892000000,11.580000000,5790,6.000000000,7.851052488,30.914891392,129.676744900,1.234769375,15.954023175,1.000000000
59,spatial_uniform_bfs,1263990239,512,29,483,784,500,497,2,0.400000000,10410.840000000,10409.830000000,10407.776000000,2.048000000,1.010000000,505,2.000000000,7.851052488,26.389569958,110.472420650,1.105293597,13.585436146,1.000000000
60,history_hotspot_bfs,112613631,512,32,480,404,500,497,10,2.000000000,10410.840000000,10346.230000000,10338.510000000,7.714000000,64.610000000,32305,23.000000000,7.851052488,26.024181036,104.606267150,1.109478105,13.396671200,1.000000000
61,fixed_random_bfs,4753112735,512,17,495,272,500,497,0,0.000000000,10410.840000000,10410.582000000,10410.576000000,0.000000000,0.258000000,129,0.400000000,7.851052488,30.611454952,129.597282149,1.199240728,15.795776557,1.000000000
62,fixed_random_bfs,1324799773,512,18,494,306,500,497,0,0.000000000,10410.840000000,10410.396000000,10410.390000000,0.000000000,0.444000000,222,0.600000000,7.851052488,27.244872648,115.818595148,1.188623635,14.043924978,1.000000000
63,history_hotspot_bfs,5849890925,512,33,479,310,500,497,12,2.400000000,10410.840000000,10296.682000000,10287.704000000,8.972000000,114.158000000,57079,39.000000000,7.851052488,24.267887402,94.882514901,0.841791441,12.467380500,1.000000000
64,fixed_random_bfs,3250683230,512,34,478,735,500,497,6,1.200000000,10410.840000000,10336.716000000,10331.022000000,5.688000000,74.124000000,37062,31.400000000,7.851052488,26.084243336,106.873735001,1.495714009,13.442663659,1.000000000
65,spatial_uniform_bfs,1263990280,512,35,477,1027,500,497,2,0.400000000,10410.840000000,10410.424000000,10408.402000000,2.016000000,0.416000000,208,1.200000000,7.851052488,23.788630468,101.622756051,1.360919680,12.238655379,1.000000000
66,history_hotspot_bfs,12170822363,512,48,464,598,500,497,5,1.000000000,10410.840000000,10310.728000000,10308.404000000,2.318000000,100.112000000,50056,35.000000000,7.851052488,24.726559470,104.180054201,1.331332687,12.732494914,1.000000000
67,fixed_random_bfs,1321499596,512,30,482,870,500,497,0,0.000000000,10410.840000000,10399.250000000,10399.244000000,0.000000000,11.590000000,5795,4.000000000,7.851052488,27.977895648,121.708115050,1.713955104,14.420160275,1.000000000
68,fixed_random_bfs,278725753,512,29,483,187,500,497,0,0.000000000,10410.840000000,10402.686000000,10402.680000000,0.000000000,8.154000000,4077,6.000000000,7.851052488,26.776397720,111.908778651,1.418926032,13.779768669,1.000000000
69,history_hotspot_bfs,474552495,512,43,469,446,500,497,19,3.800000000,10410.840000000,10267.158000000,10253.824000000,13.328000000,143.682000000,71841,55.200000000,7.851052488,26.186665950,107.506400850,1.583142968,13.473831184,1.000000000
70,fixed_random_bfs,1322203518,512,15,497,146,500,497,0,0.000000000,10410.840000000,10406.970000000,10406.964000000,0.000000000,3.870000000,1935,2.200000000,7.851052488,26.140849252,108.656599100,1.606382835,13.465560480,1.000000000
71,history_hotspot_bfs,4656695032,512,40,472,854,500,497,3,0.600000000,10410.840000000,10330.988000000,10328.118000000,2.864000000,79.852000000,39926,27.000000000,7.851052488,23.720558862,97.577366901,1.678720363,12.195887553,1.000000000
72,fixed_random_bfs,1131291352,512,32,480,494,500,497,1,0.200000000,10410.840000000,10345.608000000,10345.594000000,0.008000000,65.232000000,32616,44.000000000,7.851052488,26.030875122,108.677858499,1.599285252,13.408027429,1.000000000
73,fixed_random_bfs,7114167921,512,35,477,491,500,497,1,0.200000000,10410.840000000,10388.524000000,10387.740000000,0.778000000,22.316000000,11158,7.800000000,7.851052488,26.451684822,107.080013653,1.624760032,13.613913219,1.000000000
74,history_hotspot_bfs,13522470886,512,42,470,361,500,497,14,2.800000000,10410.840000000,10258.590000000,10249.256000000,9.328000000,152.250000000,76125,55.000000000,7.851052488,28.747285114,120.357806553,1.511365417,14.812242163,1.000000000
75,fixed_random_bfs,1548079325,512,25,487,268,500,497,3,0.600000000,10410.840000000,10359.302000000,10356.620000000,2.676000000,51.538000000,25769,19.400000000,7.851052488,25.931427174,106.148681349,1.562016352,13.347330253,1.000000000
76,history_hotspot_bfs,3993126224,512,40,472,289,500,497,114,22.800000000,10410.840000000,10244.816000000,10182.822000000,61.988000000,166.024000000,83012,67.800000000,7.851052488,28.684283380,124.913968799,1.695701558,14.679321791,1.000000000
77,fixed_random_bfs,6595210390,512,16,496,240,500,497,0,0.000000000,10410.840000000,10407.918000000,10407.912000000,0.000000000,2.922000000,1461,1.200000000,7.851052488,27.954911430,125.574195000,1.562007418,14.399281559,1.000000000
78,fixed_random_bfs,1392657799,512,16,496,211,500,497,0,0.000000000,10410.840000000,10408.928000000,10408.922000000,0.000000000,1.912000000,956,1.400000000,7.851052488,27.518148702,105.324123552,1.408533385,14.184430889,1.000000000
79,fixed_random_bfs,292599454,512,21,491,172,500,497,1,0.200000000,10410.840000000,10406.252000000,10405.350000000,0.896000000,4.588000000,2294,3.400000000,7.851052488,28.942003534,121.734419951,1.469333371,14.920866489,1.000000000
80,fixed_random_bfs,2689537161,512,39,473,392,500,497,15,3.000000000,10410.840000000,10291.788000000,10281.972000000,9.810000000,119.052000000,59526,50.000000000,7.851052488,25.769740354,107.383866750,1.153435210,13.273660442,1.000000000
81,history_hotspot_bfs,2914925366,512,41,471,335,500,497,61,12.200000000,10410.840000000,10255.536000000,10219.562000000,35.968000000,155.304000000,77652,69.600000000,7.851052488,23.796114064,97.402525501,0.988693460,12.200617930,1.000000000
82,fixed_random_bfs,4720708097,512,43,469,437,500,497,6,1.200000000,10410.840000000,10330.330000000,10328.236000000,2.088000000,80.510000000,40255,34.600000000,7.851052488,27.073056778,112.049392400,1.111596127,13.938806750,1.000000000
83,history_hotspot_bfs,10838978985,512,49,463,742,500,497,34,6.800000000,10410.840000000,10274.086000000,10247.170000000,26.910000000,136.754000000,68377,59.400000000,7.851052488,23.454863386,94.532106399,1.208269626,12.039295384,1.000000000
84,fixed_random_bfs,1801521181,512,37,475,345,500,497,5,1.000000000,10410.840000000,10364.340000000,10362.642000000,1.692000000,46.500000000,23250,15.800000000,7.851052488,25.602511182,110.398084652,1.163468483,13.170369597,1.000000000
85,fixed_random_bfs,1642560348,512,32,480,901,500,497,1,0.200000000,10410.840000000,10405.608000000,10404.582000000,1.020000000,5.232000000,2616,1.800000000,7.851052488,26.878243828,108.320751802,1.129482243,13.829398973,1.000000000
86,fixed_random_bfs,1548076551,512,23,489,249,500,497,0,0.000000000,10410.840000000,10390.224000000,10390.218000000,0.000000000,20.616000000,10308,8.000000000,7.851052488,28.862948334,117.187364300,0.944885919,14.866537276,1.000000000
87,history_hotspot_bfs,12241567151,512,42,470,276,500,497,101,20.200000000,10410.840000000,10236.924000000,10183.754000000,53.164000000,173.916000000,86958,67.800000000,7.851052488,26.195862006,109.858692900,1.144377179,13.407928111,1.000000000
88,fixed_random_bfs,7856254144,512,27,485,219,500,497,1,0.200000000,10410.840000000,10362.944000000,10362.170000000,0.768000000,47.896000000,23948,16.400000000,7.851052488,26.421492854,107.100101602,1.115090642,13.602236512,1.000000000
89,history_hotspot_bfs,2202026143,512,42,470,254,500,497,65,13.000000000,10410.840000000,10253.378000000,10221.566000000,31.806000000,157.462000000,78731,69.200000000,7.851052488,29.826681638,121.458243949,1.120049541,15.319479126,1.000000000
90,fixed_random_bfs,1550572190,512,22,490,253,500,497,0,0.000000000,10410.840000000,10404.282000000,10404.276000000,0.000000000,6.558000000,3279,1.800000000,7.851052488,30.930103778,133.134299001,1.138244408,15.946132594,1.000000000
91,spatial_uniform_bfs,4728929492,512,18,494,190,500,497,0,0.000000000,10410.840000000,10408.864000000,10408.858000000,0.000000000,1.976000000,988,0.400000000,7.851052488,26.775051762,109.727172451,1.126243042,13.792401522,1.000000000
92,history_hotspot_bfs,3573222241,512,33,479,316,500,497,34,6.800000000,10410.840000000,10365.540000000,10346.970000000,18.564000000,45.300000000,22650,23.800000000,7.851052488,26.399539004,112.630440252,0.983616476,13.546637533,1.000000000
93,fixed_random_bfs,283317561,512,23,489,382,500,497,0,0.000000000,10410.840000000,10390.540000000,10390.534000000,0.000000000,20.300000000,10150,8.200000000,7.851052488,28.647506740,117.651027999,1.258185258,14.765548701,1.000000000
94,fixed_random_bfs,4955227540,512,33,479,436,500,497,0,0.000000000,10410.840000000,10382.768000000,10382.762000000,0.000000000,28.072000000,14036,9.200000000,7.851052488,25.251309262,109.073350449,1.201062848,12.997740063,1.000000000
95,history_hotspot_bfs,343646697,512,34,478,276,500,497,10,2.000000000,10410.840000000,10305.018000000,10297.584000000,7.428000000,105.822000000,52911,42.200000000,7.851052488,25.774410426,101.765321551,0.846937744,13.259544856,1.000000000
96,fixed_random_bfs,2264487487,512,28,484,603,500,497,0,0.000000000,10410.840000000,10381.988000000,10381.982000000,0.000000000,28.852000000,14426,7.000000000,7.851052488,27.832605158,115.388207101,1.586305921,14.330780070,1.000000000
97,history_hotspot_bfs,10236070598,512,52,460,1806,500,497,4,0.800000000,10410.840000000,10365.842000000,10362.124000000,3.712000000,44.998000000,22499,16.600000000,7.851052488,26.778908222,110.851679849,1.577376855,13.787822654,1.000000000
98,fixed_random_bfs,474728395,512,50,462,790,500,497,14,2.800000000,10410.840000000,10281.774000000,10273.112000000,8.656000000,129.066000000,64533,52.400000000,7.851052488,29.358781492,129.391632600,1.347453697,15.123217013,1.000000000
99,fixed_random_bfs,5640218854,512,24,488,125,500,497,2,0.400000000,10410.840000000,10376.824000000,10375.922000000,0.896000000,34.016000000,17008,12.800000000,7.851052488,25.568731950,98.677431202,1.248379174,13.168902176,1.000000000
100,fixed_random_bfs,1328157992,512,21,491,326,500,497,0,0.000000000,10410.840000000,10405.364000000,10405.358000000,0.000000000,5.476000000,2738,3.600000000,7.851052488,25.049053574,104.649476650,1.585840780,12.882671854,1.000000000
101,history_hotspot_bfs,475544038,512,31,481,145,500,497,101,20.200000000,10410.840000000,10224.906000000,10186.856000000,38.044000000,185.934000000,92967,67.600000000,7.851052488,29.002181960,127.736736453,1.730589477,14.846353384,1.000000000
102,fixed_random_bfs,5230804046,512,33,479,563,500,497,2,0.400000000,10410.840000000,10379.988000000,10378.178000000,1.804000000,30.852000000,15426,18.400000000,7.851052488,26.684384250,110.466480850,1.634272717,13.736575037,1.000000000
103,history_hotspot_bfs,12244620635,512,29,483,196,500,497,13,2.600000000,10410.840000000,10363.622000000,10353.366000000,10.250000000,47.218000000,23609,16.600000000,7.851052488,23.376108254,94.684622047,1.675370384,12.011738731,1.000000000
104,fixed_random_bfs,11380488696,512,26,486,244,500,497,27,5.400000000,10410.840000000,10318.062000000,10291.816000000,26.240000000,92.778000000,46389,36.800000000,7.851052488,26.546620008,112.775357850,1.592418075,13.656237341,1.000000000
105,fixed_random_bfs,1587092665,512,19,493,187,500,497,0,0.000000000,10410.840000000,10408.260000000,10408.254000000,0.000000000,2.580000000,1290,1.000000000,7.851052488,30.273928028,126.185225698,1.607760388,15.596377724,1.000000000
106,history_hotspot_bfs,510791951,512,47,465,304,500,497,35,7.000000000,10410.840000000,10289.250000000,10268.102000000,21.142000000,121.590000000,60795,48.800000000,7.851052488,26.522896754,107.826365200,1.564589959,13.633298476,1.000000000
107,fixed_random_bfs,6340099264,512,41,471,691,500,497,5,1.000000000,10410.840000000,10325.114000000,10320.390000000,4.718000000,85.726000000,42863,30.000000000,7.851052488,27.704052006,113.366912599,1.453167490,14.252263579,1.000000000
108,fixed_random_bfs,12463880315,512,34,478,534,500,497,0,0.000000000,10410.840000000,10390.362000000,10390.356000000,0.000000000,20.478000000,10239,6.800000000,7.851052488,22.535045948,94.263970449,1.291594276,11.583604637,1.000000000
109,history_hotspot_bfs,1788788569,512,44,468,380,500,497,17,3.400000000,10410.840000000,10277.314000000,10273.306000000,4.002000000,133.526000000,66763,50.600000000,7.851052488,29.060555778,127.727849749,1.716920661,14.962787280,1.000000000
110,fixed_random_bfs,1361251984,512,16,496,86,500,497,0,0.000000000,10410.840000000,10393.186000000,10393.180000000,0.000000000,17.654000000,8827,5.600000000,7.851052488,31.380833430,133.704537351,1.681641923,16.175624446,1.000000000
111,fixed_random_bfs,5773611651,512,36,476,739,500,497,0,0.000000000,10410.840000000,10409.192000000,10409.186000000,0.000000000,1.648000000,824,0.600000000,7.851052488,29.946410096,123.272933749,1.560285633,15.425712745,1.000000000
112,history_hotspot_bfs,4464000796,512,27,485,251,500,497,17,3.400000000,10410.840000000,10287.580000000,10273.022000000,14.552000000,123.260000000,61630,44.800000000,7.851052488,27.387163742,111.885919000,1.294703643,14.087281631,1.000000000
113,fixed_random_bfs,4685552133,512,23,489,161,500,497,2,0.400000000,10410.840000000,10333.494000000,10331.644000000,1.844000000,77.346000000,38673,33.400000000,7.851052488,26.489548234,109.168116199,1.157225893,13.632266384,1.000000000
114,history_hotspot_bfs,5494272217,512,32,480,281,500,497,39,7.800000000,10410.840000000,10241.984000000,10217.792000000,24.186000000,168.856000000,84428,63.800000000,7.851052488,23.350746886,97.132122950,1.042558251,11.983755216,1.000000000
115,fixed_random_bfs,10300962373,512,18,494,306,500,497,0,0.000000000,10410.840000000,10408.956000000,10408.950000000,0.000000000,1.884000000,942,1.200000000,7.851052488,26.892663834,107.323115200,0.994844386,13.838722853,1.000000000
116,history_hotspot_bfs,6249235140,512,40,472,666,500,497,13,2.600000000,10410.840000000,10326.946000000,10314.718000000,12.222000000,83.894000000,41947,33.800000000,7.851052488,27.283460362,118.720316601,1.046759138,14.037703959,1.000000000
117,fixed_random_bfs,13370114785,512,27,485,278,500,497,0,0.000000000,10410.840000000,10404.974000000,10404.968000000,0.000000000,5.866000000,2933,2.200000000,7.851052488,26.146121906,105.367264397,1.258149770,13.445503544,1.000000000
118,history_hotspot_bfs,13522470885,512,38,474,412,500,497,24,4.800000000,10410.840000000,10260.268000000,10246.618000000,13.644000000,150.572000000,75286,55.600000000,7.851052488,26.275510466,109.237770253,1.182928982,13.519498691,1.000000000
